"Chad","Total renewable water resources (10^9 m3/year)",1962,45.7,"I",,1967,45.7,"I",,1972,45.7,"I",,1977,45.7,"I",,1982,45.7,"I",,1987,45.7,"I",,1992,45.7,"I",,1997,45.7,"I",,2002,45.7,"I",,2007,45.7,"I",,2012,45.7,"I",,2017,45.7,"I",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Chile","Total renewable water resources (10^9 m3/year)",1962,923.1,"",,1967,923.1,"",,1972,923.1,"",,1977,923.1,"",,1982,923.1,"",,1987,923.1,"",,1992,923.1,"",,1997,923.1,"",,2002,923.1,"",,2007,923.1,"",,2012,923.1,"",,2017,923.1,"",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"China","Total renewable water resources (10^9 m3/year)",1962,2840.0,"I","[12]",1967,2840.0,"I","[13]",1972,2840.0,"I","[14]",1977,2840.0,"I","[15]",1982,2840.0,"I","[16]",1987,2840.0,"I","[17]",1992,2840.0,"I","[18]",1997,2840.0,"I","[19]",2002,2840.0,"I","[20]",2007,2840.0,"I","[21]",2012,2840.0,"I","[22]",2017,2840.0,"I",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Colombia","Total renewable water resources (10^9 m3/year)",1962,2360.0,"",,1967,2360.0,"",,1972,2360.0,"",,1977,2360.0,"",,1982,2360.0,"",,1987,2360.0,"",,1992,2360.0,"",,1997,2360.0,"",,2002,2360.0,"",,2007,2360.0,"",,2012,2360.0,"",,2017,2360.0,"",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
